 # psi_normal -- q_safety -- <(Bdl_par)^2> -- <B^2>
 0.0000000000000E+00  0.8582999877914E+00  0.0000000000000E+00  0.0000000000000E+00 
 0.7812500000000E-02  0.8582999877914E+00  0.4353663434837E-03  0.9556102780580E+00 
 0.1562500000000E-01  0.8677377075422E+00  0.8584743116165E-03  0.9374547444476E+00 
 0.2343750000000E-01  0.8768458075258E+00  0.1269677561920E-02  0.9235865348285E+00 
 0.3125000000000E-01  0.8859356464915E+00  0.1669267392118E-02  0.9119512632894E+00 
 0.3906250000000E-01  0.8950754502655E+00  0.2057519101916E-02  0.9016923806344E+00 
 0.4687500000000E-01  0.9042704307214E+00  0.2434752695594E-02  0.8924452337501E+00 
 0.5468750000000E-01  0.9135616207608E+00  0.2801183923912E-02  0.8839163497358E+00 
 0.6250000000000E-01  0.9229223220912E+00  0.3157183741840E-02  0.8759794687489E+00 
 0.7031250000000E-01  0.9323864206069E+00  0.3502753350225E-02  0.8685169919434E+00 
 0.7812500000000E-01  0.9419307230096E+00  0.3838342740651E-02  0.8614489238870E+00 
 0.8593750000000E-01  0.9515605196443E+00  0.4164215453796E-02  0.8547128972897E+00 
 0.9375000000000E-01  0.9612917616358E+00  0.4480430737822E-02  0.8482590308096E+00 
 0.1015625000000E+00  0.9711209151608E+00  0.4787270647740E-02  0.8420638635031E+00 
 0.1093750000000E+00  0.9810402008662E+00  0.5085092204041E-02  0.8360860345968E+00 
 0.1171875000000E+00  0.9910604756029E+00  0.5374011962735E-02  0.8302984491169E+00 
 0.1250000000000E+00  0.1001175498768E+01  0.5654229041309E-02  0.8246921132759E+00 
 0.1328125000000E+00  0.1011389469062E+01  0.5926033301783E-02  0.8192431253863E+00 
 0.1406250000000E+00  0.1021705120970E+01  0.6189560257263E-02  0.8139317611838E+00 
 0.1484375000000E+00  0.1032119620527E+01  0.6445048654900E-02  0.8087590884881E+00 
 0.1562500000000E+00  0.1042637822616E+01  0.6692682431177E-02  0.8036970550410E+00 
 0.1640625000000E+00  0.1053257892434E+01  0.6932649119661E-02  0.7987536853089E+00 
 0.1718750000000E+00  0.1063982557625E+01  0.7165153023628E-02  0.7939048027983E+00 
 0.1796875000000E+00  0.1074812178576E+01  0.7390373700689E-02  0.7891546017703E+00 
 0.1875000000000E+00  0.1085747256820E+01  0.7608474323127E-02  0.7844899451396E+00 
 0.1953125000000E+00  0.1096791128948E+01  0.7819656995660E-02  0.7799048629800E+00 
 0.2031250000000E+00  0.1107945427482E+01  0.8024016419765E-02  0.7754001688520E+00 
 0.2109375000000E+00  0.1119212517712E+01  0.8221753951382E-02  0.7709592819118E+00 
 0.2187500000000E+00  0.1130585437386E+01  0.8413132776622E-02  0.7665868581047E+00 
 0.2265625000000E+00  0.1142067185332E+01  0.8598256977870E-02  0.7622796404997E+00 
 0.2343750000000E+00  0.1153662858977E+01  0.8777259777593E-02  0.7580291391612E+00 
 0.2421875000000E+00  0.1165370078528E+01  0.8950348709399E-02  0.7538352523740E+00 
 0.2500000000000E+00  0.1177193259165E+01  0.9117592359249E-02  0.7496978104467E+00 
 0.2578125000000E+00  0.1189136727371E+01  0.9279113810056E-02  0.7456045980660E+00 
 0.2656250000000E+00  0.1201194622474E+01  0.9435165747836E-02  0.7415568259983E+00 
 0.2734375000000E+00  0.1213367117742E+01  0.9585880508870E-02  0.7375572248168E+00 
 0.2812500000000E+00  0.1225656860600E+01  0.9731372014900E-02  0.7336016193925E+00 
 0.2890625000000E+00  0.1238067352401E+01  0.9871751689474E-02  0.7296865860613E+00 
 0.2968750000000E+00  0.1250604126923E+01  0.1000710562674E-01  0.7258058138151E+00 
 0.3046875000000E+00  0.1263260130105E+01  0.1013765350532E-01  0.7219623109676E+00 
 0.3125000000000E+00  0.1276036216494E+01  0.1026351832723E-01  0.7181562890146E+00 
 0.3203125000000E+00  0.1288936254674E+01  0.1038479901670E-01  0.7143845431549E+00 
 0.3281250000000E+00  0.1301964676096E+01  0.1050157368999E-01  0.7106443813175E+00 
 0.3359375000000E+00  0.1315120970584E+01  0.1061398144390E-01  0.7069302417093E+00 
 0.3437500000000E+00  0.1328401662006E+01  0.1072219000269E-01  0.7032483162221E+00 
 0.3515625000000E+00  0.1341808751800E+01  0.1082629625285E-01  0.6995966190011E+00 
 0.3593750000000E+00  0.1355347484631E+01  0.1092636429968E-01  0.6959732743225E+00 
 0.3671875000000E+00  0.1369020945580E+01  0.1102248246226E-01  0.6923696182443E+00 
 0.3750000000000E+00  0.1382823151714E+01  0.1111484426637E-01  0.6887924215794E+00 
 0.3828125000000E+00  0.1396756898433E+01  0.1120352857321E-01  0.6852410866075E+00 
 0.3906250000000E+00  0.1410826265234E+01  0.1128859722251E-01  0.6817158693414E+00 
 0.3984375000000E+00  0.1425034472375E+01  0.1137012804637E-01  0.6782064413491E+00 
 0.4062500000000E+00  0.1439376224685E+01  0.1144829243041E-01  0.6747201483151E+00 
 0.4140625000000E+00  0.1453854337105E+01  0.1152316667586E-01  0.6712563582271E+00 
 0.4218750000000E+00  0.1468474007460E+01  0.1159479868950E-01  0.6678131913944E+00 
 0.4296875000000E+00  0.1483235003419E+01  0.1166329520597E-01  0.6643839519844E+00 
 0.4375000000000E+00  0.1498135031084E+01  0.1172877645187E-01  0.6609759295345E+00 
 0.4453125000000E+00  0.1513177039464E+01  0.1179130879748E-01  0.6575881220397E+00 
 0.4531250000000E+00  0.1528366411609E+01  0.1185093753194E-01  0.6542162801521E+00 
 0.4609375000000E+00  0.1543700377847E+01  0.1190778629414E-01  0.6508579043281E+00 
