 # psi_normal -- trapped fr. (est.) -- trapped fr. -- 1.46*sqrt(eps) -- ???
 0.0000000000000E+00  0.0000000000000E+00  0.1808404533433E+00  0.0000000000000E+00  0.0000000000000E+00 
 0.7812500000000E-02  0.2864565890453E+00  0.2210741072767E+00  0.2862643407045E+00  0.1357370218922E+00 
 0.1562500000000E-01  0.3392004412049E+00  0.2613077612102E+00  0.3409854545592E+00  0.1619406779176E+00 
 0.2343750000000E-01  0.3741306469294E+00  0.2884561326441E+00  0.3779149236008E+00  0.1797109799677E+00 
 0.3125000000000E-01  0.4008460730771E+00  0.3094669045174E+00  0.4065899115705E+00  0.1935231254606E+00 
 0.3906250000000E-01  0.4228153726356E+00  0.3269128653753E+00  0.4304805080693E+00  0.2050947069004E+00 
 0.4687500000000E-01  0.4415530980381E+00  0.3418947712985E+00  0.4510964735854E+00  0.2150718471070E+00 
 0.5468750000000E-01  0.4580394892936E+00  0.3551691995610E+00  0.4694305707511E+00  0.2239872613737E+00 
 0.6250000000000E-01  0.4727730843084E+00  0.3670994125327E+00  0.4859793374625E+00  0.2320412338725E+00 
 0.7031250000000E-01  0.4861342371702E+00  0.3779792216318E+00  0.5011275258116E+00  0.2394299909300E+00 
 0.7812500000000E-01  0.4983954786746E+00  0.3880068622077E+00  0.5151523890626E+00  0.2462799480608E+00 
 0.8593750000000E-01  0.5097453667807E+00  0.3973308597681E+00  0.5282450397364E+00  0.2526876604423E+00 
 0.9375000000000E-01  0.5203233884853E+00  0.4060657148955E+00  0.5405466694041E+00  0.2587284063025E+00 
 0.1015625000000E+00  0.5302321861454E+00  0.4142774897807E+00  0.5521603695763E+00  0.2644287760200E+00 
 0.1093750000000E+00  0.5395762210514E+00  0.4220503986580E+00  0.5631951278374E+00  0.2698538990637E+00 
 0.1171875000000E+00  0.5484287611992E+00  0.4294423617590E+00  0.5737263602288E+00  0.2750437062114E+00 
 0.1250000000000E+00  0.5568318976001E+00  0.4364828045040E+00  0.5837944905899E+00  0.2800096872077E+00 
 0.1328125000000E+00  0.5648433323236E+00  0.4432179131957E+00  0.5934602360803E+00  0.2847814086712E+00 
 0.1406250000000E+00  0.5725097429579E+00  0.4496854998051E+00  0.6027727566337E+00  0.2893917747284E+00 
 0.1484375000000E+00  0.5798478984576E+00  0.4558945120726E+00  0.6117459999347E+00  0.2938314584463E+00 
 0.1562500000000E+00  0.5869091710650E+00  0.4618894438148E+00  0.6204371447758E+00  0.2981455894225E+00 
 0.1640625000000E+00  0.5936967904742E+00  0.4676679256927E+00  0.6288451357393E+00  0.3023158819228E+00 
 0.1718750000000E+00  0.6002525169604E+00  0.4732665876646E+00  0.6370171613047E+00  0.3063807973194E+00 
 0.1796875000000E+00  0.6065814968747E+00  0.4786861523174E+00  0.6449556039221E+00  0.3103286217590E+00 
 0.1875000000000E+00  0.6127086698883E+00  0.4839477755586E+00  0.6526880221457E+00  0.3141811306341E+00 
 0.1953125000000E+00  0.6186492284216E+00  0.4890630693231E+00  0.6602302895731E+00  0.3179424282200E+00 
 0.2031250000000E+00  0.6244084685388E+00  0.4940353500262E+00  0.6675860288911E+00  0.3216117699009E+00 
 0.2109375000000E+00  0.6300089342311E+00  0.4988875363379E+00  0.6747812143097E+00  0.3252130970255E+00 
 0.2187500000000E+00  0.6354550451835E+00  0.5036175602498E+00  0.6818189765202E+00  0.3287365713663E+00 
 0.2265625000000E+00  0.6407557051563E+00  0.5082322894651E+00  0.6887083924240E+00  0.3321882680391E+00 
 0.2343750000000E+00  0.6459249793223E+00  0.5127440229689E+00  0.6954655415693E+00  0.3355785199735E+00 
 0.2421875000000E+00  0.6509676919801E+00  0.5171553824716E+00  0.7020947110745E+00  0.3389057310131E+00 
 0.2500000000000E+00  0.6558878804283E+00  0.5214689626858E+00  0.7085992607894E+00  0.3421703012697E+00 
 0.2578125000000E+00  0.6606974951824E+00  0.5257001888251E+00  0.7149931937800E+00  0.3453888714407E+00 
 0.2656250000000E+00  0.6654020654936E+00  0.5298496104529E+00  0.7212822340823E+00  0.3485595038128E+00 
 0.2734375000000E+00  0.6700031526083E+00  0.5339161373745E+00  0.7274668970313E+00  0.3516769718769E+00 
 0.2812500000000E+00  0.6745079185525E+00  0.5379059455805E+00  0.7335553120052E+00  0.3547477421397E+00 
 0.2890625000000E+00  0.6789226205963E+00  0.5418241924769E+00  0.7395545653023E+00  0.3577751182937E+00 
 0.2968750000000E+00  0.6832513223674E+00  0.5456788367322E+00  0.7454689019303E+00  0.3607669499388E+00 
 0.3046875000000E+00  0.6874960357946E+00  0.5494680829401E+00  0.7512998411159E+00  0.3637196185340E+00 
 0.3125000000000E+00  0.6916606224024E+00  0.5531930019239E+00  0.7570515038566E+00  0.3666328164310E+00 
 0.3203125000000E+00  0.6957503108877E+00  0.5568580497711E+00  0.7627300105363E+00  0.3695100792133E+00 
 0.3281250000000E+00  0.6997681665042E+00  0.5604670285085E+00  0.7683385910132E+00  0.3723536646306E+00 
 0.3359375000000E+00  0.7037170663984E+00  0.5640265001037E+00  0.7738802847376E+00  0.3751722944292E+00 
 0.3437500000000E+00  0.7075981943056E+00  0.5675312450962E+00  0.7793558052622E+00  0.3779567444675E+00 
 0.3515625000000E+00  0.7114151169937E+00  0.5709841833529E+00  0.7847692745500E+00  0.3807098577926E+00 
 0.3593750000000E+00  0.7151710029779E+00  0.5743880234803E+00  0.7901243369322E+00  0.3834326986842E+00 
 0.3671875000000E+00  0.7188680802056E+00  0.5777519673665E+00  0.7954233657771E+00  0.3861378021201E+00 
